Dates,log_inflow
1/30/1944,2.876471875
2/6/1944,2.610606937
2/13/1944,3.498594476
2/20/1944,3.948650589
2/27/1944,3.524148068
3/5/1944,3.18000825
3/12/1944,3.756111748
3/19/1944,3.735210735
3/26/1944,3.864090822
4/2/1944,3.732626126
4/9/1944,3.127953112
4/16/1944,4.111110887
4/23/1944,3.291726175
4/30/1944,3.378239782
5/7/1944,2.98606375
5/14/1944,2.669567899
5/21/1944,2.380012144
5/28/1944,2.996914259
6/4/1944,2.283120235
6/11/1944,2.155912689
6/18/1944,2.293163596
6/25/1944,2.212347438
7/2/1944,1.623972512
7/9/1944,1.623972512
7/16/1944,1.623972512
7/23/1944,1.623972512
7/30/1944,1.623972512
8/6/1944,3.243885956
8/13/1944,3.07861992
8/20/1944,2.260381488
8/27/1944,2.472522423
9/3/1944,2.093001197
9/10/1944,0.662757832
9/17/1944,1.124504225
9/24/1944,3.048787392
10/1/1944,3.7643271
10/8/1944,3.77678542
10/15/1944,3.422847451
10/22/1944,4.199560469
10/29/1944,3.606901347
11/5/1944,3.004523424
11/12/1944,2.521661015
11/19/1944,2.521634883
11/26/1944,2.53379747
12/3/1944,3.723861863
12/10/1944,3.617695285
12/17/1944,3.369868664
12/24/1944,3.050677434
12/31/1944,3.069982421
1/7/1945,3.540657262
1/14/1945,3.459797942
1/21/1945,3.228284839
1/28/1945,3.051526819
2/4/1945,2.859246407
2/11/1945,2.886338413
2/18/1945,4.002828881
2/25/1945,3.744160718
3/4/1945,3.407397704
3/11/1945,3.376553234
3/18/1945,3.069808646
3/25/1945,3.019211866
4/1/1945,2.869566115
4/8/1945,2.525446506
4/15/1945,2.478725179
4/22/1945,3.162776424
4/29/1945,2.902698946
5/6/1945,2.550240587
5/13/1945,2.392380348
5/20/1945,2.75893459
5/27/1945,2.563172461
6/3/1945,2.570250977
6/10/1945,2.077803798
6/17/1945,2.459663837
6/24/1945,2.777673264
7/1/1945,2.109409791
7/8/1945,2.641821011
7/15/1945,2.991832778
7/22/1945,3.814338175
7/29/1945,3.722969384
8/5/1945,3.05795123
8/12/1945,3.266725467
8/19/1945,3.203394648
8/26/1945,3.547420236
9/2/1945,2.838030083
9/9/1945,2.993083361
9/16/1945,3.752738926
9/23/1945,4.65270013
9/30/1945,3.238229322
10/7/1945,3.072525611
10/14/1945,2.937011087
10/21/1945,2.803545877
10/28/1945,2.834503358
11/4/1945,2.741380115
11/11/1945,2.72260102
11/18/1945,2.76783091
11/25/1945,2.862000117
12/2/1945,2.748428374
12/9/1945,3.601835186
12/16/1945,3.052605458
12/23/1945,3.057472111
12/30/1945,4.07542724
1/6/1946,3.645724795
1/13/1946,3.650605695
1/20/1946,3.401171269
1/27/1946,3.59350316
